Depth (m),ROP Avg(m/hr),Surface WOB Avg(klb),RPM Surface Avg (rpm),Torque Abs Avg (f-b),SPP Avg (psig),Flow in Pum Avg(gpm),M.wt(ppg),HOB(hr),Rev On Bit (krev),Bit Diameter,TFA(in2),pit volume(bbl),PP(ppg),OVB(ppg)
1315,9,3.4,119,2205.5,2494,1021,10.30,9.35,56.6,17.50,1.1688,730.95,8.99,13.08
1315.5,7.8,2.9,119,2141.5,2495,1020,10.30,9.416666667,57.1,17.50,1.1688,733.64,9.005,13.08
1316,8.7,2.8,119,2127.1,2497,1020,10.30,9.466666667,57.5,17.50,1.1688,733.21,9.02,13.08
1316.5,9.3,3,119,2182.8,2500,1020,10.30,9.516666667,57.8,17.50,1.1688,733.99,9.005,13.085
1317,10,3.4,119,2228.7,2503,1020,10.30,9.583333333,58.2,17.50,1.1688,734.59,8.99,13.09
1317.5,10,3.6,119,2233.9,2498,1021,10.30,9.616666667,58.6,17.50,1.1688,733.29,9.015,13.09
1318,8.6,3.8,119,2241.2,2482,1022,10.30,9.683333333,59,17.50,1.1688,730.05,9.04,13.09
1318.5,8.4,2.8,119,2128.7,2463,1023,10.30,9.75,59.4,17.50,1.1688,731.63,9.055,13.095
1319,8.3,2.4,119,2129.2,2455,1023,10.30,9.8,59.8,17.50,1.1688,731.86,9.07,13.1
1319.5,8.5,2.6,119,2129.5,2449,1023,10.30,9.866666667,60.3,17.50,1.1688,729.87,9.08,13.1
1320,9.5,2.8,119,2128.6,2448,1023,10.30,9.916666667,60.6,17.50,1.1688,732.09,9.09,13.1
1320.5,9.6,2.9,119,2158.8,2460,1023,10.30,9.966666667,61,17.50,1.1688,731.43,9.09,13.105
1321,8.5,3.1,120,2093.3,2498,1021,10.30,10.03333333,61.5,17.50,1.1688,731.98,9.09,13.11
