Depth (m),ROP Avg(m/hr),Surface WOB Avg(klb),RPM Surface Avg (rpm),Torque Abs Avg (f-b),SPP Avg (psig),Flow in Pum Avg(gpm),M.wt(ppg),HOB(min),Rev On Bit (krev),Bit Diameter,Nozzle size(in2),pit volume(bbl)
1296.5,11.3,6,119,2213.7,2454,1023,10.30,458,44.2,17.50,78,655.29
1297,13.1,6.2,119,2294.4,2466,1023,10.30,460,44.5,17.50,78,653.94
1297.5,13.3,6.3,119,2318,2470,1022,10.30,462,44.8,17.50,78,654.46
1298,12.3,6,119,2324.3,2497,1021,10.30,465,45.1,17.50,78,664.1
1298.5,11.8,5.6,119,2300.6,2526,1020,10.30,467,45.4,17.50,78,708.92
1299,11.7,5.7,119,2234.4,2550,1018,10.30,470,45.7,17.50,78,741.2
1299.5,10.9,4.9,119,2161.1,2557,1017,10.30,472,46,17.50,78,745.12
1300,10.7,4.5,119,2145.6,2530,1018,10.30,475,46.4,17.50,78,752.18
1300.5,10.2,4,119,2106,2510,1020,10.30,478,46.7,17.50,78,752.78
1301,10.8,4.2,119,2100.3,2497,1020,10.30,481,47,17.50,78,751.97
1301.5,10.5,4.1,119,2121.6,2491,1021,10.30,484,47.4,17.50,78,742.95
1302,10.4,3.8,119,2105.8,2488,1021,10.30,487,47.7,17.50,78,741.21
1302.5,11.6,4.1,119,2146.9,2479,1021,10.30,489,48,17.50,78,739.98
1303,11.3,4.3,119,2149.3,2478,1021,10.30,492,48.4,17.50,78,741.26
1303.5,11.6,4.6,119,2211.4,2469,1021,10.30,494,48.6,17.50,78,737.45
1304,12.3,4.8,119,2286.7,2465,1022,10.30,497,49,17.50,78,736.67
1304.5,13.4,5.4,119,2349.4,2468,1022,10.30,499,49.2,17.50,78,734.46
1305,12.2,5.7,119,2347.9,2472,1022,10.30,502,49.5,17.50,78,733.47
1305.5,11.9,4.8,119,2241.2,2483,1021,10.30,504,49.8,17.50,78,737.03
1306,10.2,3.9,119,2085.1,2492,1021,10.30,507,50.2,17.50,78,737.02
1306.5,9.2,2.9,119,1980.7,2494,1021,10.30,511,50.6,17.50,78,736.93
1307,9.4,2.9,119,1984.9,2497,1020,10.30,514,50.9,17.50,78,743.43
1307.5,9,3.2,119,2002.3,2497,1020,10.30,517,51.4,17.50,78,743.82
1308,9.3,2.2,119,1947.9,2495,1020,10.30,520,51.7,17.50,78,744.27
1308.5,10.3,2.9,119,2065.8,2486,1021,10.30,523,52.1,17.50,78,743.43
1309,10.3,3.5,119,2108.8,2478,1021,10.30,526,52.4,17.50,78,743.14
1309.5,10,3.2,119,2100.2,2475,1022,10.30,529,52.8,17.50,78,736.61
1310,10,3.5,119,2142.6,2479,1022,10.30,532,53.2,17.50,78,736.1
1310.5,10,3.7,119,2155.6,2484,1022,10.30,535,53.5,17.50,78,738.61
1311,10.8,3.9,119,2223.6,2500,1021,10.30,538,53.8,17.50,78,738.93
1311.5,10.2,3.9,119,2216.1,2511,1019,10.30,541,54.2,17.50,78,738.57
1312,10.3,3.8,119,2243.2,2522,1020,10.30,544,54.5,17.50,78,738.58
1312.5,10.5,3.8,119,2212.8,2528,1020,10.30,547,54.9,17.50,78,729
1313,11.3,4.3,119,2240.4,2523,1019,10.30,549,55.2,17.50,78,727.56
1313.5,11.6,4.4,119,2278.3,2507,1020,10.30,552,55.5,17.50,78,728.61
1314,11.4,4.8,119,2326.9,2503,1020,10.30,554,55.8,17.50,78,727.74
1314.5,10,3.7,119,2231.7,2496,1020,10.30,558,56.2,17.50,78,729.86
1315,9,3.4,119,2205.5,2494,1021,10.30,561,56.6,17.50,78,730.95
1315.5,7.8,2.9,119,2141.5,2495,1020,10.30,565,57.1,17.50,78,733.64
1316,8.7,2.8,119,2127.1,2497,1020,10.30,568,57.5,17.50,78,733.21
1316.5,9.3,3,119,2182.8,2500,1020,10.30,571,57.8,17.50,78,733.99
1317,10,3.4,119,2228.7,2503,1020,10.30,575,58.2,17.50,78,734.59
1317.5,10,3.6,119,2233.9,2498,1021,10.30,577,58.6,17.50,78,733.29
1318,8.6,3.8,119,2241.2,2482,1022,10.30,581,59,17.50,78,730.05
